Journey Event ID,Journey ID,Event Time Stamp,Latitude,Longitude,Event Type ID,Event Description,Time Elapsed,Distance From Previous Position,Average Speed From Prev Point,Satellite Count,HDOP Value
8606020843,124934495,13 Nov 2021 22:02:38:000,51.60109,-0.1948492,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,22.0,151.0,14.5,12.0,0.899999976
8606020844,124934495,13 Nov 2021 22:03:14:000,51.6002,-0.1955515,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,36.0,157.0,9.764705882,11.0,0.800000012
8606020845,124934495,13 Nov 2021 22:03:32:000,51.59954,-0.1975213,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,18.0,156.0,19.05555556,12.0,0.800000012
8606020846,124934495,13 Nov 2021 22:03:46:000,51.59857,-0.1990632,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,14.0,152.0,23.07142857,11.0,0.899999976
8606020847,124934495,13 Nov 2021 22:04:01:000,51.59775,-0.2009335,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,15.0,159.0,23.06666667,12.0,0.899999976
8606020848,124934495,13 Nov 2021 22:04:15:000,51.5969,-0.2027112,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,14.0,155.0,24.21428571,12.0,0.899999976
8606020849,124934495,13 Nov 2021 22:04:29:000,51.59591,-0.2043065,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,14.0,158.0,24.28571429,12.0,0.800000012
8606020850,124934495,13 Nov 2021 22:04:43:000,51.5948,-0.2056528,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,14.0,157.0,23.92857143,11.0,0.800000012
8606020851,124934495,13 Nov 2021 22:04:56:000,51.59392,-0.2073532,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,13.0,154.0,25.07692308,12.0,0.699999988
8606020852,124934495,13 Nov 2021 22:05:09:000,51.59286,-0.2089422,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,13.0,161.0,26.38461538,11.0,0.800000012
8606020853,124934495,13 Nov 2021 22:05:21:000,51.5919,-0.2104873,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,12.0,151.0,27.16666667,12.0,0.800000012
8606020854,124934495,13 Nov 2021 22:05:35:000,51.59105,-0.2122598,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,14.0,155.0,23.71428571,12.0,0.899999976
8606020855,124934495,13 Nov 2021 22:05:53:000,51.59016,-0.2139467,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,18.0,155.0,18.55555556,11.0,0.800000012
8606020856,124934495,13 Nov 2021 22:06:11:000,51.58891,-0.213706,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,18.0,155.0,18.88888889,12.0,0.800000012
8606020857,124934495,13 Nov 2021 22:06:26:000,51.58783,-0.2130728,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,15.0,153.0,22.13333333,10.0,1.0
8606020858,124934495,13 Nov 2021 22:06:53:000,51.58696,-0.2142915,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,27.0,151.0,11.85185185,10.0,1.0
8606020859,124934495,13 Nov 2021 22:07:10:000,51.58613,-0.2152023,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,17.0,152.0,19.41176471,11.0,0.899999976
8606020860,124934495,13 Nov 2021 22:07:22:000,51.58479,-0.2149628,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,12.0,150.0,27.58333333,12.0,0.899999976
8609688656,124970245,15 Nov 2021 17:54:28:500,51.58154,-0.210206,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,27.0,151.0,12.11111111,11.0,0.800000012
8609688657,124970245,15 Nov 2021 17:54:56:500,51.58191,-0.2089193,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,28.0,153.0,11.28571429,10.0,0.899999976
8609688658,124970245,15 Nov 2021 17:55:21:500,51.58321,-0.208606,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,25.0,152.0,13.04,11.0,0.800000012
8609688659,124970245,15 Nov 2021 17:55:54:500,51.58384,-0.209782,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,33.0,154.0,10.09090909,11.0,0.800000012
8609688660,124970245,15 Nov 2021 17:56:28:500,51.58517,-0.2093298,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,34.0,153.0,9.176470588,10.0,1.0
8609688661,124970245,15 Nov 2021 17:56:46:500,51.58513,-0.2092973,7,RTP_EVT_EXCESSIVE_ACCELERATION,18.0,,,,
8609688662,124970245,15 Nov 2021 17:57:00:500,51.58401,-0.2094152,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,14.0,152.0,9.90625,10.0,0.899999976
8609688663,124970245,15 Nov 2021 17:57:27:500,51.58271,-0.209986,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,27.0,159.0,13.34615385,11.0,0.899999976
8609688664,124970245,15 Nov 2021 17:57:49:500,51.58154,-0.2095837,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,22.0,151.0,14.68181818,10.0,0.899999976
8609688665,124970245,15 Nov 2021 18:01:26:500,51.5815,-0.2088607,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,217.0,150.0,1.157407407,13.0,0.699999988
8609688666,124970245,15 Nov 2021 18:01:56:500,51.5813,-0.2107088,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,30.0,154.0,11.1,13.0,0.800000012
